Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Dibutyl Phthalate,3026,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,C16H22O4,278.34,10,4,0,77.84,52.6,2.97,4.5,3.6,3.43,3.69,-3.96,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,1.536,No,No,1.806,2.326,No,No,1.1,0.09
Ethyl 2-methylbutyrate,24020,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCC(C)C(=O)OCC,C7H14O2,130.18,4,2,0,37.05,26.3,2.36,1.88,1.6,1.63,1.76,-1.57,High,Yes,No,No,No,No,No,0,2,0.55,0,No,0.885,No,No,1.983,2.342,No,Yes,-0.294,1.613
Eucalyptol,2758,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
gamma-Amorphene,12313019,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CC2C(CC1)C(=C)CCC2C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.31,4.58,4.63,4.18,-3.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.048,No,No,1.54,1.473,No,Yes,1.73,-0.024
Gamma-muurolene 1,6432308,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CC2C(CC1)C(=C)CCC2C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.31,4.58,4.63,4.18,-3.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.048,No,No,1.54,1.473,No,Yes,1.73,-0.024
Germacrene a,9548705,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCCC(=CCC(CC1)C(=C)C)C,C15H24,204.35,1,0,0,70.68,0.0,3.31,5.87,5.04,4.53,4.58,-4.74,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.535,No,No,1.759,1.347,No,Yes,1.572,0.499
Germacrene D,5317570,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCCC(=C)C=CC(CC1)C(C)C,C15H24,204.35,1,0,0,70.68,0.0,3.32,4.74,4.89,4.53,4.3,-4.03,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.497,No,No,1.634,1.413,No,Yes,1.671,0.257
Hexyl acetate,8908,Hairy Fig,Ficus hispida L.,PMID: 11710602,CCCCCCOC(=O)C,C8H16O2,144.21,6,2,0,41.86,26.3,2.66,2.42,2.13,1.96,2.22,-1.86,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.767,No,No,1.792,2.304,No,Yes,0.027,1.166
Humulene,5281520,Hairy Fig,Ficus hispida L.,PMID: 11710602,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Indole,798,Hairy Fig,Ficus hispida L.,PMID: 11859479,C1=CC=C2C(=C1)C=CN2,C8H7N,117.15,0,0,1,38.3,15.79,1.43,2.05,2.17,1.57,1.98,-2.6,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.575,No,No,2.403,2.12,No,Yes,0.312,1.332
