Compound Name,PubChem Id,Common Name,Scientific Name_x,References,Scientific Name_y,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Brujavanol C,132487406,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C21H32O7,396.47,1,7,4,100.63,116.45,2.09,0.29,0.24,0.68,0.68,-2.41,High,No,No,No,No,No,No,0,0,0.55,0,Yes,-0.256,No,No,2.706,3.428,No,No,0.285,3.919
Brujavanone A,102196212,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H48O8,584.74,6,8,1,157.02,111.66,4.2,4.49,4.92,3.43,4.35,-5.9,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.192,No,No,3.256,0.135,No,No,0.286,1.882
Brujavanone B,102196213,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H48O7,556.73,5,7,1,152.01,94.59,4.2,4.45,5.0,3.31,4.34,-5.77,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.16,No,No,2.934,0.119,No,No,0.289,1.422
Brujavanone C,102196214,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H46O7,542.7,4,7,2,147.28,105.59,3.81,3.91,4.35,3.13,3.87,-5.4,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.293,No,No,3.113,1.662,No,No,0.288,1.901
Brujavanone D,102196215,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H50O8,574.75,6,8,3,155.37,122.52,4.0,3.46,3.96,2.52,3.51,-5.19,High,No,No,No,No,No,Yes,1,3,0.55,0,No,-1.212,No,No,2.608,1.599,No,No,0.286,2.514
Brujavanone E,102196216,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H48O8,560.72,5,8,4,150.64,133.52,3.53,2.92,3.3,2.34,3.03,-4.83,Low,No,No,No,No,No,Yes,1,3,0.55,0,No,-1.245,No,No,2.647,2.098,No,No,0.285,2.993
Brujavanone F,102196217,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H52O8,588.77,7,8,2,160.1,111.52,4.51,3.99,4.61,2.71,4.0,-5.54,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.204,No,No,2.43,1.487,No,No,0.288,2.219
Brujavanone G,102196218,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H48O7,556.73,6,7,2,153.69,102.29,4.05,4.76,4.76,3.23,4.23,-5.89,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.193,No,No,2.37,1.838,No,No,0.288,1.435
Brujavanone H,102196219,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H50O7,558.75,6,7,2,154.2,102.29,4.1,4.8,4.99,3.31,4.33,-5.93,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.052,No,No,2.377,1.64,No,No,0.291,1.111
Brujavanone I,102196220,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H52O7,560.76,6,7,2,154.68,102.29,4.37,4.61,5.21,3.4,4.49,-5.83,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.053,No,No,2.401,1.626,No,No,0.291,1.032
Brujavanone J,102196221,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C33H52O7,560.76,6,7,2,154.68,102.29,4.37,4.61,5.21,3.4,4.49,-5.83,High,No,No,No,No,No,No,1,3,0.55,0,No,-1.053,No,No,2.401,1.626,No,No,0.291,1.032
Brujavanone K,102196222,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H50O7,546.74,5,7,3,149.95,113.29,3.77,4.08,4.56,3.22,3.99,-5.47,High,No,No,No,No,No,Yes,1,3,0.55,0,No,-1.156,No,No,2.43,1.987,No,No,0.288,1.511
Brujavanone L,102196223,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H48O6,528.72,4,6,1,146.59,85.36,3.54,5.07,5.6,4.02,4.74,-6.05,High,No,No,No,No,No,No,1,4,0.55,0,No,-0.882,No,No,2.595,0.023,No,No,0.294,0.518
Brujavanone M,102196224,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C39H62O10,690.9,12,10,3,185.97,148.82,4.47,4.78,5.28,2.86,4.55,-6.34,Low,No,No,No,No,No,Yes,1,3,0.55,0,No,-1.14,No,No,2.527,1.556,No,No,0.285,3.296
