Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Hexacosanoic acid,10469,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,C26H52O2,396.69,24,2,1,128.87,37.3,6.23,12.54,9.45,6.41,8.86,-8.62,Low,No,No,No,No,No,No,1,2,0.85,0,No,-0.651,No,No,1.405,3.953,Yes,Yes,0.299,-3.492
Hexadecane,11006,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCC,C16H34,226.44,13,0,0,79.03,0.0,4.67,8.28,6.49,6.44,6.42,-5.6,Low,No,Yes,No,No,No,No,1,1,0.55,0,No,0.141,No,No,1.521,1.307,No,Yes,1.825,-1.409
Hexadecanoic acid,985,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
Histidinol,776,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1=C(NC=N1)CC(CO)N,C6H11N3O,141.17,3,3,3,37.04,74.93,0.49,-1.2,-0.73,-1.41,-0.5,-0.13,High,No,No,No,No,No,No,0,3,0.55,0,Yes,-0.358,No,No,2.316,1.137,No,No,0.281,3.757
Isoorientin,114776,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,448.38,3,11,8,108.63,201.28,2.12,-0.15,-0.53,-2.51,-0.24,-2.7,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.592,No,No,2.55,5.208,No,No,0.285,6.015
Isorhamnetin-3-O-glucoside,5318645,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C22H22O12,478.4,5,12,7,114.63,199.51,1.21,0.69,-0.24,-2.37,-0.15,-3.26,Low,No,No,No,No,No,Yes,2,0,0.17,0,No,0.639,No,Yes,2.548,4.451,No,No,0.285,6.547
Lycorine,72378,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4,C16H17NO4,287.31,0,5,2,78.4,62.16,2.06,-0.02,0.22,1.08,0.84,-1.82,High,No,No,No,No,Yes,No,0,0,0.55,0,Yes,-0.12,No,No,2.545,0.912,Yes,No,0.441,2.104
Mannitol,6251,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C(C(C(C(C(CO)O)O)O)O)O,C6H14O6,182.17,5,6,6,37.93,121.38,0.34,-3.1,-3.59,-2.77,-2.21,1.31,Low,No,No,No,No,No,No,1,2,0.55,0,No,2.19,No,No,1.637,4.25,No,No,0.285,5.763
Morphine,5288826,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,C17H19NO3,285.34,0,4,2,82.27,52.93,2.69,0.76,0.82,1.74,1.47,-2.3,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-1.063,No,Yes,2.466,1.082,Yes,No,0.496,2.312
Naphthalene,931,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,C1=CC=C2C=CC=CC2=C1,C10H8,128.17,0,0,0,43.95,0.0,1.99,3.3,2.84,4.26,3.1,-3.45,Low,Yes,Yes,No,No,No,No,1,2,0.55,0,No,0.703,No,No,1.942,2.345,No,Yes,0.584,0.52
Octadecadienoic acid,5312457,Licorice,Glycyrrhiza uralensis Fisch. ,PMID: 34140890,CCCCCCCCCCCCCC=CC=CC(=O)O,C18H32O2,280.45,14,2,1,89.46,37.3,4.3,7.65,5.88,4.47,5.61,-5.47,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.827,No,No,1.429,3.187,No,Yes,0.701,-1.31
