Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
gamma-Muurolene,12313020,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CC2C(CC1)C(=C)CCC2C(C)C,C15H24,204.35,1,0,0,69.04,0.0,3.39,4.31,4.58,4.63,4.18,-3.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.048,No,No,1.54,1.473,No,Yes,1.73,-0.024
gamma-Terpinene,7461,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(=CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.73,4.5,3.31,3.27,3.35,-3.45,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
Germacrene B,5281519,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CCCC(=CCC(=C(C)C)CC1)C,C15H24,204.35,0,0,0,70.68,0.0,3.27,5.77,5.18,4.53,4.6,-4.74,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.494,No,No,1.73,1.416,No,Yes,1.478,0.511
Germacrene D,5317570,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1=CCCC(=C)C=CC(CC1)C(C)C,C15H24,204.35,1,0,0,70.68,0.0,3.32,4.74,4.89,4.53,4.3,-4.03,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.497,No,No,1.634,1.413,No,Yes,1.671,0.257
Globulol,12304985,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,C15H26O,222.37,0,1,1,68.82,20.23,3.08,3.74,3.47,3.81,3.42,-3.57,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,-0.193,No,No,1.615,1.187,No,Yes,1.369,1.063
Guineensine,6442405,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC(C)CNC(=O)C=CC=CCCCCCCC=CC1=CC2=C(C=C1)OCO2,C24H33NO3,383.52,13,3,1,116.75,47.56,5.13,6.81,5.54,3.87,5.58,-5.81,High,Yes,No,No,Yes,Yes,Yes,0,0,0.55,0,No,-0.361,No,Yes,3.115,2.456,Yes,No,1.096,-0.631
Humulene,5281520,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Isobutyl-eicosadienamide,170984165,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CCCCCCCCCCCCCCCC=CC=C(CC(C)C)C(=O)N,C24H45NO,363.62,18,1,1,119.44,43.09,5.42,9.68,7.48,5.39,7.17,-7.0,Low,No,Yes,No,No,No,No,1,2,0.55,0,No,-0.708,No,Yes,1.949,0.806,No,Yes,0.519,-2.306
Isocaryophyllene,5281522,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Limonene,22311,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Methyl geranate,5365910,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=CCCC(=CC(=O)OC)C)C,C11H18O2,182.26,5,2,0,55.33,26.3,3.05,3.42,2.85,2.67,2.91,-2.79,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.562,No,No,1.73,2.269,No,Yes,0.898,0.769
Neral,643779,Black Pepper,Piper nigrum,DOI: 10412905.2003.9712116,CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Neryl acetate,1549025,Black Pepper,Piper nigrum,DOI: 10.4172/2167-0412.1000161,CC(=CCCC(=CCOC(=O)C)C)C,C12H20O2,196.29,6,2,0,60.13,26.3,2.83,4.04,3.24,2.95,3.21,-3.21,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.474,No,No,1.683,2.272,No,Yes,1.186,0.604
